HG03697,ST025,SAS,STU,"Sri Lankan Tamil in the UK",male
HG03887,ST106,SAS,STU,"Sri Lankan Tamil in the UK",male
HG02694,PK20,SAS,PJL,"Punjabi in Lahore,Pakistan",female
NA21125,NA21125,SAS,GIH,"Gujarati Indian in Houston,TX",female
HG03738,ST044,SAS,STU,"Sri Lankan Tamil in the UK",male
NA20901,NA20901,SAS,GIH,"Gujarati Indian in Houston,TX",male
HG04059,IT184,SAS,ITU,"Indian Telugu in the UK",female
HG03817,BD23,SAS,BEB,"Bengali in Bangladesh",female
HG03021,PK37,SAS,PJL,"Punjabi in Lahore,Pakistan",male
HG03948,ST010,SAS,STU,"Sri Lankan Tamil in the UK",female
